bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | 
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | 
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | OWN_ID: 17
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Server is running on http://localhost:3019
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | own Id is 17
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | All ids: 0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Not all peers connected or ready
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | {
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   groupId: 2,
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   groupSize: 8,
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ownGroupOthersIds: [
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '16', '18',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '19', '20',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '21', '22',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '23'
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   amILeader: true,
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   otherGroupLeadersIds: [
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '0',  '1',  '2',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '3',  '4',  '8',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '9',  '10', '11',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '12'
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ownGroupIds: [
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '16', '17', '18',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '19', '20', '21',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '22', '23'
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   allIds: [
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '0',  '1',  '10', '11', '12',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '13', '14', '15', '16', '17',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '18', '19', '2',  '20', '21',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '22', '23', '3',  '4',  '5',
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |     '6',  '7',  '8',  '9'
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    |   ownGroupLeaderIds: [ '16', '17', '18', '19', '20' ]
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | }
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | All servers ready
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | Malicious : false
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_0 1738490169439
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_1 1738490169441
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_2 1738490169441
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_3 1738490169442
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_4 1738490169442
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_5 1738490169442
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_6 1738490169443
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_7 1738490169443
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_8 1738490169444
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_9 1738490169444
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_10 1738490169445
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_11 1738490169445
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_12 1738490169445
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_13 1738490169445
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_14 1738490169445
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_15 1738490169446
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_16 1738490169446
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_17 1738490169446
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_18 1738490169446
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_19 1738490169446
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_20 1738490169447
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_21 1738490169447
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_22 1738490169447
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_23 1738490169447
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_24 1738490169447
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_25 1738490169448
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_26 1738490169448
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_27 1738490169448
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_28 1738490169448
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_29 1738490169449
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_30 1738490169449
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_31 1738490169449
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_32 1738490169449
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_33 1738490169449
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_34 1738490169450
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_35 1738490169450
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_36 1738490169450
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_37 1738490169450
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_38 1738490169451
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_39 1738490169451
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_40 1738490169451
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_41 1738490169451
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_42 1738490169451
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_43 1738490169452
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_44 1738490169452
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_45 1738490169452
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_46 1738490169452
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_47 1738490169452
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_48 1738490169453
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_49 1738490169453
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_50 1738490169453
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_51 1738490169453
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_52 1738490169454
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_53 1738490169454
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_54 1738490169454
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_55 1738490169455
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_56 1738490169455
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_57 1738490169455
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_58 1738490169455
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_59 1738490169456
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_60 1738490169456
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_61 1738490169456
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_62 1738490169456
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_63 1738490169457
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_64 1738490169457
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_65 1738490169457
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_66 1738490169457
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_67 1738490169457
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_68 1738490169458
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_69 1738490169458
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_70 1738490169458
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_71 1738490169459
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_72 1738490169459
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_73 1738490169459
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_74 1738490169460
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_75 1738490169460
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_76 1738490169460
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_77 1738490169460
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_78 1738490169460
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_79 1738490169460
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_80 1738490169461
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_81 1738490169461
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_82 1738490169461
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_83 1738490169461
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_84 1738490169461
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_85 1738490169462
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_86 1738490169462
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_87 1738490169462
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_88 1738490169462
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_89 1738490169462
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_90 1738490169462
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_91 1738490169463
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_92 1738490169463
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_93 1738490169463
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_94 1738490169463
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_95 1738490169463
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_96 1738490169464
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_97 1738490169464
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_98 1738490169464
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_99 1738490169464
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_100 1738490169464
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_101 1738490169465
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_102 1738490169465
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_103 1738490169465
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_104 1738490169465
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_105 1738490169465
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_106 1738490169466
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_107 1738490169466
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_108 1738490169466
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_109 1738490169466
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_110 1738490169466
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_111 1738490169467
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_112 1738490169467
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_113 1738490169467
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_114 1738490169467
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_115 1738490169467
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_116 1738490169467
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_117 1738490169468
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_118 1738490169468
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_119 1738490169468
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_120 1738490169468
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_121 1738490169468
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_122 1738490169469
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_123 1738490169469
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_124 1738490169469
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_125 1738490169469
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_126 1738490169469
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_127 1738490169469
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_128 1738490169470
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_129 1738490169470
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_130 1738490169470
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_131 1738490169470
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_132 1738490169470
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_133 1738490169471
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_134 1738490169471
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_135 1738490169471
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_136 1738490169471
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_137 1738490169472
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_138 1738490169472
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_139 1738490169472
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_140 1738490169472
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_141 1738490169473
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_142 1738490169473
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_143 1738490169473
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_144 1738490169473
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_145 1738490169473
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_146 1738490169473
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_147 1738490169474
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_148 1738490169474
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_149 1738490169474
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_150 1738490169474
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_151 1738490169474
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_152 1738490169475
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_153 1738490169475
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_154 1738490169475
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_155 1738490169475
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_156 1738490169476
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_157 1738490169476
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_158 1738490169476
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_159 1738490169476
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_160 1738490169476
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_161 1738490169477
bft_bft_server3019.1.pqda4pzwhaq1@node13.arafi-239826.msc6801project.emulab.net    | command: 17_162 1738490169477
