bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | 
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | > nodeimplementation@1.0.0 start
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | > ts-node src/index.ts
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | 
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | OWN_ID: 5
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Server is running on http://localhost:3007
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | own Id is 5
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3002: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3005: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3009: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3010: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3009: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3002: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3010: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3005: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3002: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3009: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3010: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3005: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3002: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3009: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3005: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3002: xhr poll error
bft_bft_server3007.1.q72a6j0w1cti@abdur-rafi-Lenovo-ideapad-320-15IKB    | Connection error for port 3009: xhr poll error
