bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | 
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | > nodeimplementation@1.0.0 start
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | > ts-node src/index.ts
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | 
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Server is running on http://localhost:3004
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | own Id is 3
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3006: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3005: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3005: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3006: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3006: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3005: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | Connection error for port 3005: xhr poll error
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | All peer servers connected
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | All ids: 1,2,3,4,5,6,7,8
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | All servers ready
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_0 1735931403657
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_1 1735931403658
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_2 1735931403658
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_3 1735931403658
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_4 1735931403658
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_5 1735931403658
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_6 1735931403659
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_7 1735931403659
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_8 1735931403659
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_9 1735931403659
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_10 1735931403660
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_11 1735931403660
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_12 1735931403660
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_13 1735931403660
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_14 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_15 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_16 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_17 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_18 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_19 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_20 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_21 1735931403661
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_22 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_23 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_24 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_25 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_26 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_27 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_28 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_29 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_30 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_31 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_32 1735931403662
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_33 1735931403663
