bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | 
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | 
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | OWN_ID: 11
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Server is running on http://localhost:3013
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | own Id is 11
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | All ids: 0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | Not all peers connected or ready
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    | {
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   groupId: 1,
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   groupSize: 8,
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   ownGroupOthersIds: [
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |     '8',  '9',  '10',
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |     '12', '13', '14',
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |     '15'
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   ],
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   amILeader: true,
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   otherGroupLeadersIds: [ '0', '1', '2', '3', '4' ],
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |   ownGroupIds: [
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |     '10', '11', '12',
bft_bft_server3013.1.mkirpgynbujn@node7.bft.msc6801project.emulab.net    |     '13', '14', '15',
