bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | 
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | > nodeimplementation@1.0.0 start
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | > ts-node src/index.ts
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | 
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | Server is running on http://localhost:3005
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | own Id is 4
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | All peer servers connected
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | All ids: 1,2,3,4,5,6,7,8
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | All servers ready
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_0 1735931403663
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_1 1735931403663
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_2 1735931403663
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_3 1735931403664
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_4 1735931403664
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_5 1735931403664
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_6 1735931403664
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_7 1735931403664
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_8 1735931403665
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_9 1735931403665
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_10 1735931403665
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_11 1735931403665
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_12 1735931403665
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_13 1735931403665
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_14 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_15 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_16 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_17 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_18 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_19 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_20 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_21 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_22 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_23 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_24 1735931403666
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_25 1735931403667
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_26 1735931403667
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_27 1735931403667
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_28 1735931403667
bft_bft_server3005.1.lt05ax7rb8tc@bft-13    | command: 4_29 1735931403667
