bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | 
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | > nodeimplementation@1.0.0 start
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | > ts-node src/index.ts
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | 
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Server is running on http://localhost:3009
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | own Id is 8
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3004: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3006: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3012: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3019: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3021: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3018: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
