bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | 
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | 
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Server is running on http://localhost:3009
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | own Id is 8
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3008: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3018: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3025: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3033: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3025: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.j2vpijqopj5a@node12.bft.msc6801project.emulab.net    | Connection error for port 3008: xhr poll error
