bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | 
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | 
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | OWN_ID: 4
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Server is running on http://localhost:3006
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | own Id is 4
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3018: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3028: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
