bft_bft_server3003.1.cymz3o788z1u@azureuser    | 
bft_bft_server3003.1.cymz3o788z1u@azureuser    | > nodeimplementation@1.0.0 start
bft_bft_server3003.1.cymz3o788z1u@azureuser    | > ts-node src/index.ts
bft_bft_server3003.1.cymz3o788z1u@azureuser    | 
bft_bft_server3003.1.cymz3o788z1u@azureuser    | Server is running on http://localhost:3003
bft_bft_server3003.1.cymz3o788z1u@azureuser    | own Id is 2
bft_bft_server3003.1.cymz3o788z1u@azureuser    | Connection error for port 3004: xhr poll error
bft_bft_server3003.1.cymz3o788z1u@azureuser    | Connection error for port 3004: xhr poll error
bft_bft_server3003.1.cymz3o788z1u@azureuser    | All peer servers connected
bft_bft_server3003.1.cymz3o788z1u@azureuser    | All ids: 1,2,3,4
bft_bft_server3003.1.cymz3o788z1u@azureuser    | All servers ready
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_0 1735931297012
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_3 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_4 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_5 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_6 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_7 1735931297013
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_8 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_9 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_10 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_11 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_12 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_13 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_14 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_15 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_16 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_17 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_18 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_19 1735931297014
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_20 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_21 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_22 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_23 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_24 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_25 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_26 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_27 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_28 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_29 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_30 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_31 1735931297015
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_32 1735931297015
